id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1396068,"['Queen palm', 'Giriba palm']",Syagrus romanzoffiana,(Cham.) Glassman,5293897.0,246966-2,LC
1470376,['Arikury palm'],Syagrus schizophylla,(Mart.) Glassman,5293907.0,246970-2,
1470383,[],Syagrus werdermannii,Burret,5293886.0,246982-2,
1550038,[],Symbolanthus pulcherrimus,Gilg,3840473.0,247006-2,
1423306,[],Senecio potosianus,Klatt,3108599.0,247029-1,
1438785,"['Creeping snowberry', 'Tripvine', 'Trailing snowberry', 'Spreading snowberry']",Symphoricarpos mollis,Nutt.,2888642.0,247043-2,
1414068,"['Ground-plum', 'Ground-plum milk-vetch', 'Buffalo-plum', 'Groundplum milkvetch']",Astragalus crassicarpus,Nutt.,5343637.0,24705-2,LC
1520730,[],Senecio procumbens,Kunth,3108626.0,247064-1,
1396484,"['Glaucous Aster', 'Smooth Aster', 'Smooth Blue Aster', 'Smooth-Leaf Aster', 'Aster lisse', 'Glaucous Michaelmas-daisy']",Symphyotrichum laeve,(L.) Á.Löve & D.Löve,8421156.0,247114-2,
1389265,"['Calico Aster', 'Calico Or One-Sided Or White Woodland Or Starved Aster', 'Goblet Aster', 'One-Side Aster', 'Side-Flower Aster', 'Starved Aster', 'White Woodland Aster', 'Farewell Summer', 'One-Sided Aster', 'Side-Flowering Aster']",Symphyotrichum lateriflorum,(L.) Á.Löve & D.Löve,7832723.0,247115-2,
1389528,"['Bog Aster', 'Bristly Aster', 'Glossy-Leaf Aster', 'Purple-Stem Aster', 'Purplestem Aster', 'Red-Stalk Aster', 'Swamp Aster', 'Purple-Stemmed Aster', 'Red-Stemmed Aster']",Symphyotrichum puniceum,(L.) Á.Löve & D.Löve,8233296.0,247116-2,LC
1389059,"['African daisy', 'Shoddy ragwort', 'Wing-groundsel', 'South African daisy']",Senecio pterophorus,DC.,3107177.0,247117-1,
1640957,[],Symplococarpon purpusii,(Brandegee) Kobuski,3590874.0,247129-2,LC
1520756,['Argentine Chamanti'],Senecio pulcher,Hook. & Arn.,3109000.0,247130-1,
1373855,[],Senecio purpureus,L.,7933347.0,247148-1,
1396203,['The belesa'],Senecio pyrenaicus,L.,3107170.0,247164-1,
1520767,"['Cotton fireweed', 'Cottonweed', 'Daisy', 'White fireweed']",Senecio quadridentatus,Labill.,3107661.0,247174-1,
